shift,allocated1,allocated2,allocated3,allocated4,allocated,abandoned1,abandoned2,abandoned3,abandoned4,abandoned,Arrival time1,Arrival time2,Arrival time3,Arrival time4,Arrival time,sharing1,sharing2,sharing,SW1, SW2, SW3,SW4,SWP,SWpenalty, SW,SW1 %,SW2 %, SW3 %,SW4 %,SWP %,Working,Waiting,Moving,Patroling,Working%,Waiting%,Moving%,Patroling%,Reallocation%,completed1,completed2,completed3,completed4,completed,working1, working2, working3, working4, working,sharing1_1,sharing1_2,sharing1_3,sharing2_1,sharing2_2,SW1_average,SW2_average,SW3_average,SW4_average
0,1.0,1.0,NaN,NaN,0.3,0.2857142857142857,0.0,NaN,NaN,0.16666666666666666,5.97476983386061,9.902865027056006,NaN,NaN,7.611476164358692,1.0,1.0,1.0,12995.106951160667,5604.751225174195,0.0,0.0,3166.3873982274786,-240.0,21766.245574562323,0.5970302460589588,0.2574973807942482,0.0,0.0,0.14547237314679376,33937.713401350244,0.0,9602.902076101094,28577.23008282482,0.4705869003391827,0.0,0.13315569817008718,0.39625740149073013,0.0030864197530864196,0.7142857142857143,0.8,NaN,NaN,0.75,0.8439698242856416,0.9161440362852155,NaN,NaN,0.8760472518410077,0.24215295212733218,0.13819109923460599,0.6196559486380618,0.09516936854618396,0.904830631453816,1841.1358822291193,1395.2190602075416,NaN,NaN
0,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,12.497355330060024,17.801403693443547,8.080847364373206,10.303634820007687,12.9784344172618,0.75,1.0,0.875,5912.319523153916,4695.539072204526,3359.9598072684025,732.5467528864292,4189.6177484705495,0.0,18889.98290398383,0.3129870235037126,0.2485729656861814,0.1778699231411056,0.03877964086097387,0.22179044680802618,26471.856286929906,0.0,5763.800712429443,41696.98197884512,0.35805371826012966,0.0,0.07796016471329564,0.5639861170265746,0.0,0.5,0.5,1.0,1.0,0.6666666666666666,0.9166660185100655,0.9605196286642619,0.9635426024275936,0.8407564760670664,0.9357194472123127,0.10786762386718102,0.03586928460163031,0.8562630915311887,0.15466001920814224,0.8453399807918578,2173.5808864915525,1456.0681204272705,1119.986602422801,732.5467528864292
0,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,6.664437039366521,13.635149536973596,11.872255992204133,14.231145546600601,11.788491477854059,1.0,1.0,1.0,1079.6241144171822,5607.541421941721,4307.630101928125,708.3592200689286,4475.227920867049,0.0,16178.382779223006,0.06673251147226429,0.346607043390219,0.26625838692976,0.04378430339642073,0.27661775481133594,21850.14995933108,0.0,7138.85198199816,43910.99805867075,0.29972770863279946,0.0,0.0979266389848856,0.6023456523823149,0.0,0.5,1.0,0.8,1.0,0.8333333333333334,0.9843395223116427,0.8652991606175302,0.8587139827966042,0.948961420652263,0.8829353516620442,0.8476104502634946,0.1523895497365054,0.0,0.050931294898520184,0.9490687051014799,755.1121740775561,1401.8853554854304,1071.7402448698945,708.3592200689286
0,1.0,1.0,NaN,1.0,0.3,0.0,0.0,NaN,0.0,0.0,12.740931565444884,11.9429895333433,NaN,20.430836995117353,12.982786001866797,1.0,0.8333333333333334,0.9090909090909091,9310.09386686723,6740.683072746355,0.0,671.793435019277,3609.9320726146784,0.0,20332.50244724753,0.45789217982499564,0.33152255066659836,0.0,0.033040371531356666,0.1775448979770498,29871.639482744897,0.0,8626.086900858074,34033.835410648506,0.41184332370342513,0.0,0.11892873512537183,0.469227941171203,0.0,1.0,0.8333333333333334,NaN,1.0,0.9166666666666666,0.8195898537071665,0.8803553563460829,NaN,0.8745272248663194,0.8522048431938696,0.15361402762007476,0.1719749093242178,0.6744110630557074,0.17264009945051775,0.8273599005494822,1862.018773373446,1348.1366145492711,NaN,671.793435019277
0,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,10.532430346811203,7.97513627924543,5.493015051261156,11.844463172623401,9.174369051449112,1.0,1.0,1.0,5850.777398234904,2693.367214530248,3434.971339879149,1802.8803330235412,5111.840277033892,0.0,18893.836562701745,0.30966592617747646,0.14255268936999352,0.1818038029745697,0.09542161154196713,0.2705559699359926,20288.735439847173,0.0,6013.235399998434,46006.56249330516,0.2805856308323923,0.0,0.08316079891004498,0.6362535702575628,0.0,0.75,1.0,1.0,0.6666666666666666,0.8333333333333334,0.8065289543494457,0.8494625342152284,0.9492452336990528,0.9414389551020963,0.8849125542780143,0.19505983378893632,0.10686283753189026,0.6980773286791734,0.25386137156632566,0.7461386284336743,1941.6123812195813,1346.6836072651238,1144.9904466263831,712.2458474438599
0,1.0,1.0,1.0,NaN,0.3,0.0,0.0,0.0,NaN,0.0,10.322204473885133,9.188377645096505,10.199311051667518,NaN,9.734808822454552,0.75,1.0,0.9,5280.854220748064,7065.301417100206,1984.8783620114805,0.0,4782.090658972901,0.0,19113.124658832683,0.27629465694441757,0.36965705729518916,0.10384897275779632,0.0,0.2501993130025953,22154.38702113674,0.0,6312.484650090747,43878.68388340496,0.3062301042723577,0.0,0.08725462955804954,0.6065152661695928,0.0,0.75,0.6666666666666666,0.5,NaN,0.6666666666666666,0.8289434425843979,0.8127718395474715,0.9166888658017132,NaN,0.831825818968099,0.2598688661944974,0.214800945549718,0.5253301882557846,0.21914960656463695,0.780850393435363,1760.2847402493544,1343.6477559774905,1097.7730498063534,NaN
0,1.0,1.0,1.0,1.0,0.3,0.0,0.16666666666666666,0.0,0.0,0.08333333333333333,9.334270217793982,9.862545590860995,24.99673426442614,25.028953599554644,12.211503523360223,1.0,0.8333333333333334,0.9,7238.076156124164,6729.820362049221,969.1144285302989,645.8983553881217,3679.5176232784024,-90.0,19262.426925370215,0.3757613816871132,0.3493755168091249,0.050311128098500135,0.03353151489636126,0.19102045850890015,29583.84893873059,0.0,7777.443638715379,35523.10720058319,0.4059009750897143,0.0,0.10670930490477706,0.4873897200055087,0.0,1.0,0.6666666666666666,1.0,1.0,0.8333333333333334,0.8910935064769774,0.8502299837849012,0.6387584684429696,0.6151106205140281,0.8219163050004514,0.18145589869212247,0.18135277066473457,0.6371913306431429,0.025103283911963748,0.9748967160880363,1809.5190390310408,1466.2724220101375,969.1144285302989,645.8983553881217
0,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,0.5,0.08333333333333333,8.269203831618173,6.575741623796812,12.56363588478429,24.31016173636119,11.451817426426418,0.6666666666666666,1.0,0.8571428571428571,3923.295187830223,4673.118261249316,2523.4639957997083,1090.6204835274598,3983.029796301589,-30.0,16193.527724708276,0.24227550997698993,0.2885793843498978,0.1558316408072947,0.06734915961908523,0.24596430524673357,27162.981203114396,0.0,6497.966323477103,38941.69459901305,0.37413213084066144,0.0,0.08950041118662658,0.536367457972712,0.0,0.6666666666666666,0.75,0.3333333333333333,0.5,0.5833333333333334,0.9394680123490239,0.8919100934700084,0.8365511074733405,0.7413491506984246,0.8760809376114054,0.2021801932055362,0.1517870701878321,0.6460327366066317,0.29364818082607197,0.706351819173928,1961.6475939151117,1320.1349436018036,1067.942013801502,560.8086176283032
0,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,0.3333333333333333,0.08333333333333333,10.888546127271395,13.991397895848603,9.568217153552268,7.336298061293736,10.924740619159458,1.0,0.75,0.875,6689.893592655279,3784.9430666046674,1105.7501723025428,2225.176758378866,4788.379576135413,-30.0,18594.143166076763,0.3597849889023308,0.20355565904805628,0.059467659382115456,0.11967084143132169,0.257520851236176,21866.0,0.0,7599.940165224127,44535.41618521867,0.2954810705962035,0.0,0.10270001172996947,0.601818917673827,0.0,1.0,0.75,1.0,1.0,0.9166666666666666,0.7845361203878893,0.8310028795680738,0.951910826309671,0.9185379848361314,0.8489707182794402,0.2593216730686907,0.22731458087082315,0.5133637460604862,0.29987116098125666,0.7001288390187433,1672.4733981638194,1261.647688868222,1105.7501723025428,751.7255861262887
0,1.0,1.0,1.0,0.8,0.275,0.0,0.0,0.0,0.25,0.09090909090909091,9.605433954044974,7.221368540071522,51.791337035623656,20.072371936337202,16.379742440849864,1.0,1.0,1.0,4180.75666291798,5556.004959544488,770.7151008146855,2662.781964830857,3589.223585504438,-30.0,16759.482273612433,0.24945619409142022,0.3315141165364242,0.045986808436688134,0.15888211350200054,0.21416076743346776,30618.34806663547,0.0,6378.386760036574,35063.688467479195,0.4248982543670487,0.0,0.08851442259782388,0.48658732303512753,0.0,1.0,0.75,1.0,0.75,0.8181818181818182,0.8654984940086343,0.8367108483525879,0.7925785585895816,0.7797142559684783,0.8192056510633388,0.140124674129568,0.039528764511284495,0.8203465613591476,0.13388005338347764,0.8661199466165224,2090.37833145899,1424.8945533913009,770.7151008146855,660.1765373999087
